"","Name","Geography1","cat1","cat2","cat3","cat4","cat5","cat6","cat7","cat8","cat9","cat10","cat11","cat12","cat13","cat14","cat15","cat16","cat17","cat18"
"247","Redbridge","London Borough",22744,21677,20207,18198,17854,23142,25448,25384,22379,19914,18668,16429,13792,11174,9287,6786,5263,5512
"248","Richmond upon Thames","London Borough",12624,14297,12290,9695,8064,9806,12669,16588,17009,16158,14746,12298,9911,8872,8335,5321,3816,4405
"249","Sutton","London Borough",13754,14506,12783,10715,9653,11672,14636,17278,15689,15286,15049,12449,9906,8461,8186,5554,4457,4491
"250","Waltham Forest","London Borough",21802,19710,16441,14483,15717,22888,27940,25834,20652,19164,17354,14251,11118,8735,7209,5210,4096,4096
"251","SOUTH EAST","Region",527245,579842,547098,513034,538488,547732,548383,588935,572560,640050,663498,599161,505834,471566,473122,320361,243834,252882
"252","Bracknell Forest","Unitary Authority",7417,8472,7842,7304,6185,7400,8571,9394,8625,9194,9238,8061,6381,5230,4792,2958,2423,2189
"253","Brighton and Hove","Unitary Authority",13768,14713,14208,17765,33513,28361,21239,20463,18679,20549,20331,15976,12326,10548,9963,6660,5263,6070
"254","Isle of Wight","Unitary Authority",6462,7031,7183,6989,6640,6679,6774,6762,6924,9199,10728,10568,10305,10514,11112,7309,5068,5291
"255","Medway","Unitary Authority",18494,18864,17280,16259,16866,20174,19539,18694,16952,18853,19496,17723,14452,12943,12463,7968,5777,5058
"256","Milton Keynes","Unitary Authority",19048,21235,18580,14606,12933,16159,20142,22406,20305,18994,17852,15750,13565,12119,9870,6374,4359,4310
"257","Portsmouth","Unitary Authority",12735,13187,11923,13800,24455,19154,15700,13673,11803,13256,13370,12251,9567,8201,8148,5436,4225,4249
"258","Reading","Unitary Authority",11632,11198,9411,9647,14484,13985,12984,13157,10953,10543,10046,8376,6767,5523,5093,3615,2873,2916
"259","Slough","Unitary Authority",12827,13027,11309,8614,7909,9292,12213,14394,12021,10148,8815,7508,6179,4846,3420,2678,1969,1943
"260","Southampton","Unitary Authority",15766,15475,12880,16193,32855,25059,18318,17052,14107,13618,14164,12913,10888,9453,8732,6021,4428,4874
"261","West Berkshire","Unitary Authority",8980,10315,10230,9478,6978,8178,8878,9669,10558,12273,12438,11252,9381,8562,8336,5440,3872,3709
"262","Windsor and Maidenhead","Unitary Authority",8678,9852,10048,8966,6238,7734,9042,10494,10827,11685,11466,9994,7850,7241,7331,5077,4020,4363
"263","Wokingham","Unitary Authority",9822,12239,11347,9847,7522,7873,9669,11731,12560,13060,12544,11130,9114,7852,8001,5418,4199,4051
"264","Buckinghamshire","County",32404,36951,35462,30427,25410,28909,30711,35363,36153,39960,40968,36286,30018,26888,26426,18653,14581,14489
"265","Aylesbury Vale","Non-metropolitan District",12520,13796,12714,11171,9826,11949,13072,13911,13474,14535,15130,13113,10832,9667,9007,6066,4413,4252
"266","Chiltern","Non-metropolitan District",5093,6651,6906,5419,3763,4144,3791,5428,6643,7294,7577,7054,5647,5000,5293,3751,3267,3206
"267","South Bucks","Non-metropolitan District",3844,4580,4365,3618,3059,3394,3775,4344,4178,5254,5472,5169,4232,3646,3592,2750,2290,2481
"268","Wycombe","Non-metropolitan District",10947,11924,11477,10219,8762,9422,10073,11680,11858,12877,12789,10950,9307,8575,8534,6086,4611,4550
"269","East Sussex","County",27106,31167,30481,28805,26125,26861,27299,29672,29273,37358,42151,39812,36119,36566,38784,25524,19658,21829
"270","Eastbourne","Non-metropolitan District",5431,5952,5395,5514,5639,5298,5574,6191,5728,6645,7141,6871,6061,6225,6690,4433,3833,4539
"271","Hastings","Non-metropolitan District",5438,5668,5165,5008,5219,5539,5726,5604,5287,6466,7227,6437,5704,5274,5169,3057,2278,2589
"272","Lewes","Non-metropolitan District",4868,5898,5865,5541,4458,4744,4941,5675,5632,7108,7903,7312,6558,6731,6858,4813,3644,4195
"273","Rother","Non-metropolitan District",3806,4801,4799,4417,4061,4087,3868,4044,4219,5902,7011,7171,6970,7589,8397,5592,4286,4636
"274","Wealden","Non-metropolitan District",7563,8848,9257,8325,6748,7193,7190,8158,8407,11237,12869,12021,10826,10747,11670,7629,5617,5870
"275","Hampshire","County",74388,83854,80567,74418,67946,74852,78000,82573,83678,98110,103829,96759,81889,77787,80141,54139,41229,42157
"276","Basingstoke and Deane","Non-metropolitan District",10860,11958,10631,9301,8502,10031,11661,12494,11887,13253,13522,11933,9455,8591,8500,5539,3949,3662
"277","East Hampshire","Non-metropolitan District",5964,7153,7334,6734,5501,5469,5414,6398,7109,8976,9593,9207,7830,7310,7630,5171,3886,4002
"278","Eastleigh","Non-metropolitan District",7502,8444,7947,6852,6308,8062,8409,8736,8464,9346,9544,8900,7628,7079,6820,4643,3554,3581
"279","Fareham","Non-metropolitan District",5564,6463,6399,6174,5626,6066,6423,6632,6651,8439,8945,8598,7145,6923,7410,5071,3946,3864
"280","Gosport","Non-metropolitan District",4682,5190,5072,4903,4793,5470,5300,5179,4854,5735,6150,5886,5005,4747,4730,2961,2319,2307
"281","Hart","Non-metropolitan District",5442,6448,6276,5254,3894,4681,5252,6253,6996,7553,7618,6533,5193,4828,5251,3702,2624,2495
"282","Havant","Non-metropolitan District",6659,7164,7055,6819,6780,7251,6986,6684,6360,8236,9248,9178,8041,7496,7877,5398,4192,4389
"283","New Forest","Non-metropolitan District",7816,9510,9403,8729,7719,8209,8135,8495,9163,11719,13370,13261,12327,12887,13698,9371,7517,8424
"284","Rushmoor","Non-metropolitan District",6486,6122,5490,4819,5404,6882,7582,7207,6792,7051,6998,5951,4529,3913,3767,2582,1854,1713
"285","Test Valley","Non-metropolitan District",7106,7841,7249,6474,5382,6601,6906,7552,7702,9236,9689,8940,7499,7187,7493,4914,3770,3628
"286","Winchester","Non-metropolitan District",6307,7561,7711,8359,8037,6130,5932,6943,7700,8566,9152,8372,7237,6826,6965,4787,3618,4092
"287","Kent","County",91425,99580,95738,88851,88941,92598,92897,96137,92367,108932,114746,103087,88833,85156,87039,57393,42206,42697
"288","Ashford","Non-metropolitan District",8077,8782,8342,7336,6238,7537,7685,7744,7875,9426,9886,8459,6923,6850,7119,4606,3174,3222
"289","Canterbury","Non-metropolitan District",7428,8470,8503,12227,19767,12843,8359,7922,7556,9356,10193,9519,8836,8884,9091,6157,4451,4991
"290","Dartford","Non-metropolitan District",8079,7878,7054,5713,5555,7353,9025,8893,7523,7830,7596,6444,5115,4273,4060,2815,2240,2263
"291","Dover","Non-metropolitan District",6015,6625,6593,6017,5941,6325,6422,6310,6168,7851,8886,8603,7991,7574,7744,4848,3552,3504
